Frame ID,QR id,QR 2D,QR 3D
98,1,"[[836. 571.], [838. 604.], [805. 602.], [804. 570.]]","[2.2702284282433256, -5.29950670565259, 89.64993562535561, 9.47227118434089]"
99,1,"[[837. 578.], [838. 611.], [806. 609.], [804. 577.]]","[2.2201395465781406, -5.280628167359879, 88.7408759301332, 13.089819228154386]"
100,1,"[[836. 571.], [838. 605.], [806. 603.], [804. 571.]]","[2.2129873721215896, -5.290596073601677, 87.67847550340625, 16.21028262972194]"
101,1,"[[836. 576.], [838. 610.], [807. 609.], [804. 576.]]","[2.1977887659335, -5.281335914494775, 86.66742251368844, 19.22932756159765]"
102,1,"[[836. 572.], [838. 606.], [806. 604.], [804. 571.]]","[2.177031440283958, -5.290858114282798, 87.77925569146429, 18.49457137204398]"
103,1,"[[837. 576.], [839. 610.], [806. 606.], [804. 574.]]","[2.1263158724256104, -5.271778737688152, 88.39328375906553, 17.77749754204327]"
104,1,"[[836. 574.], [838. 609.], [806. 606.], [804. 573.]]","[2.1404319655147543, -5.291070273278848, 87.85600324703645, 20.69866904943395]"
105,1,"[[836. 574.], [837. 607.], [806. 606.], [804. 573.]]","[2.2381939633032193, -5.300022837581906, 88.29897533392744, 16.598229745789226]"
106,1,"[[835. 575.], [837. 608.], [806. 606.], [804. 573.]]","[2.204292993568782, -5.309850285186599, 87.79867109563808, 20.91965465488993]"
108,1,"[[834. 555.], [836. 589.], [803. 586.], [802. 554.]]","[2.1871622294896857, -5.375929912821022, 88.87719152731052, 15.586211825903263]"
109,1,"[[835. 572.], [836. 605.], [804. 602.], [801. 568.]]","[2.0962590739153146, -5.366554779786355, 88.51548575267049, 19.447042676771023]"
110,1,"[[835. 570.], [836. 601.], [804. 599.], [804. 568.]]","[2.3221195912779113, -5.333951645858974, 87.17282610631946, -21.3117269798723]"
111,1,"[[835. 568.], [837. 600.], [804. 598.], [803. 566.]]","[2.220708598540756, -5.3335834837494644, 85.21371591296824, -24.455967099428463]"
112,1,"[[835. 568.], [837. 601.], [804. 600.], [802. 568.]]","[2.2201866821205196, -5.346643312671773, 87.91405635697829, 10.18631637988945]"
113,1,"[[834. 565.], [837. 598.], [804. 598.], [802. 565.]]","[2.217350846557292, -5.352428099619203, 84.19668723697991, -24.392776139410717]"
114,1,"[[834. 564.], [836. 597.], [804. 596.], [803. 564.]]","[2.27799124765167, -5.356618586983188, 88.22995846068734, 13.921471999340412]"
115,1,"[[834. 562.], [836. 595.], [805. 595.], [802. 562.]]","[2.2367779266700936, -5.356948304904307, 86.6027788120929, 16.667862009746386]"
116,1,"[[835. 562.], [836. 595.], [804. 594.], [802. 562.]]","[2.253230974152054, -5.35625044247368, 88.4923475198805, 10.066145049467236]"
117,1,"[[833. 560.], [836. 593.], [804. 592.], [802. 560.]]","[2.2466892598076176, -5.3757911876236335, 86.82252819006133, 16.27929954409088]"
118,1,"[[833. 554.], [835. 586.], [802. 586.], [800. 554.]]","[2.249969558295194, -5.422087464733153, 87.99248016394961, 6.8223740184859265]"
119,1,"[[832. 551.], [835. 585.], [803. 584.], [800. 551.]]","[2.176362453786032, -5.4234672617944, 86.15605505342171, 18.532373578047903]"
120,1,"[[831. 548.], [834. 581.], [801. 580.], [800. 548.]]","[2.280630907151873, -5.457057366196125, 85.33128613314985, -22.000992056026487]"
121,1,"[[831. 546.], [834. 578.], [800. 577.], [799. 546.]]","[2.2448304987423136, -5.47621222385817, 84.27767000251562, -19.024321191423173]"
122,1,"[[830. 543.], [833. 576.], [801. 576.], [798. 544.]]","[2.249874222273363, -5.498481512698476, 85.96712043190202, 13.345932309326427]"
123,1,"[[830. 540.], [832. 573.], [800. 572.], [798. 541.]]","[2.288451241050563, -5.517074103407765, 87.64988670124549, 10.163562143444436]"
124,1,"[[829. 536.], [833. 570.], [800. 569.], [798. 537.]]","[2.2138088193163172, -5.517780867555132, 86.10108765334726, 16.146746051478154]"
125,1,"[[828. 535.], [832. 568.], [799. 568.], [797. 536.]]","[2.393702033081905, -5.554418622907576, 87.12978392181361, -3.6808245774957875]"
126,1,"[[828. 534.], [830. 566.], [798. 565.], [797. 534.]]","[2.4622249414080737, -5.583956844884739, 89.27194644160033, 0.5485528214906852]"
